Please enter the text file you would like to use.
For my data, enter paper.txt.
For Dr. Finkel's data, enter poem.txt.
Choice: poem.txt

Thank you for choosing. To continue, press enter.

Alphabetical Order
a 15
above 7
adore 1
again 1
agreeing 1
Ah 1
ah 1
Aidenn 1
air 1
all 4
Allan 1
an 2
ancient 1
and 30
And 8
angels 4
answer 1
aptly 1
art 1
As 1
as 4
ashore 1
at 8
back 2
Back 1
balm 1
be 3
Be 1
beak 1
beast 1
beating 1
before 5
beguiling 2
being 1
bends 1
betook 1
bird 9
Bird 1
black 1
bleak 1
blessed 1
books 1
bore 3
borrow 1
bosoms 1
both 1
broken 1
burden 2
burned 1
burning 1
bust 6
But 6
but 1
by 5
By 3
came 3
cannot 1
Caught 1
censer 1
chamber 11
clasp 1
Clasp 1
core 1
countenance 1
craven 1
crest 1
cried 1
croaking 1
curious 1
curtain 1
cushioned 1
cushions 1
dared 1
Darkness 1
darkness 1
days 1
December 1
decorum 1
Deep 1
demons 1
denser 1
desert 1
Desolate 1
devil 2
did 1
dirges 1
Disaster 1
discourse 1
distant 1
distinctly 1
divining 1
door 14
Doubting 1
Doubtless 1
dream 1
dreaming 2
dreams 1
dreary 1
dying 1
each 2
Eagerly 1
ease 1
ebony 1
echo 1
Edgar 1
ember 1
enchanted 1
engaged 1
entrance 2
entreating 2
er 3
ever 1
Ever 1
evermore 1
evil 2
explore 2
expressing 1
eyes 2
fact 1
faintly 1
falls 1
fancy 3
Fancy 1
fantastic 1
farther 1
fast 1
faster 1
fearing 1
feather 1
felt 1
fiend 1
fiery 1
filled 1
flirt 1
flitting 1
floating 1
floor 4
flown 2
flung 1
flutter 1
fluttered 1
Followed 1
followed 1
foot 1
For 2
for 2
forget 1
forgiveness 1
forgotten 1
form 1
fowl 2
friends 1
From 1
from 7
front 1
gaunt 1
gave 1
gently 2
Get 1
Ghastly 1
ghastly 1
ghost 1
Gilead 1
gloated 1
gloating 1
God 2
grave 1
grew 2
grim 2
guessing 1
had 1
hath 3
haunted 1
have 3
he 7
head 1
hear 1
heard 2
heart 3
Heaven 1
help 1
here 4
hesitating 1
him 1
his 7
home 1
Hope 1
Hopes 1
Horror 1
human 1
I 32
if 4
implore 3
In 1
in 6
into 6
is 10
Is 1
it 4
It 1
its 3
just 2
kind 1
laden 1
lady 1
lamp 3
land 1
late 1
lattice 1
least 1
leave 1
Leave 2
Lenore 8
lent 1
Let 2
lie 1
lies 1
lifted 1
light 3
lining 2
linking 1
little 2
living 1
loneliness 1
lonely 1
long 1
longer 1
lord 1
lordly 1
lore 1
lost 2
louder 1
Madam 1
made 1
maiden 3
many 2
marvelled 1
master 1
me 9
meaning 1
Meant 1
melancholy 1
memories 1
Merely 1
methought 1
midnight 1
mien 1
minute 1
moment 1
more 8
morrow 2
mortal 1
Much 1
murmured 1
muttered 2
my 24
myself 1
mystery 2
name 5
Nameless 1
napping 2
nearly 1
nepenthe 2
Never 1
never 2
nevermore 3
Nevermore 8
Nightly 1
Nights 2
no 7
nodded 1
not 2
Not 1
Nothing 1
nothing 6
now 2
o 3
obeisance 1
Of 1
of 21
off 1
oh 1
ominous 2
On 4
on 6
Once 1
one 4
only 3
Only 1
Open 1
opened 1
or 8
Other 1
our 1
out 2
outpour 1
Over 1
Pallas 2
pallid 1
parting 1
peering 1
perched 1
Perched 2
perfumed 1
placid 1
plainly 1
plume 1
Plutonian 2
Poe 1
pondered 1
Presently 1
press 1
Prophet 2
prophet 2
purple 1
Quaff 1
quaff 1
quaint 1
quit 1
Quoth 5
radiant 2
rapping 3
rare 2
Raven 11
reclining 1
relevancy 1
remember 1
repeating 1
reply 1
respite 1
Respite 1
rustling 1
sad 2
said 7
sainted 1
saintly 1
sat 3
scarce 1
scarcely 1
sculptured 1
seat 1
see 1
seeing 1
seeming 1
sent 2
separate 1
Seraphim 1
shadow 2
shall 2
Shall 1
shaven 1
She 1
shore 3
shorn 1
shrieked 1
shutter 1
sign 1
silence 1
silken 1
sinking 1
Sir 1
sitting 3
smiling 2
So 1
so 4
Some 1
some 4
something 1
somewhat 1
songs 1
Soon 1
sorrow 3
sought 1
soul 6
spoke 1
spoken 3
Startled 1
stately 1
stayed 1
stepped 1
stern 1
still 7
stillness 2
stock 1
stood 2
stopped 1
store 1
Straight 1
streaming 1
stronger 1
such 1
suddenly 1
surcease 1
sure 2
Surely 1
surely 1
Swung 1
syllable 1
Take 1
take 1
tapping 5
tell 3
Tell 2
tempest 2
Tempter 1
terrors 1
than 2
That 2
that 15
The 1
the 56
thee 4
then 4
Then 4
there 7
thereat 1
these 1
thing 2
thinking 1
This 4
this 13
thou 1
Though 2
Thrilled 1
throws 1
thy 7
till 1
Till 2
tinkled 1
Tis 3
To 1
to 5
token 2
tossed 1
truly 2
tufted 1
turning 1
unbroken 2
uncertain 1
undaunted 1
ungainly 2
unhappy 1
unmerciful 1
unseen 1
unto 1
upon 5
upstarting 1
us 1
uttered 1
utters 1
vainly 1
velvet 3
violet 1
visitor 3
volume 1
wandering 1
was 6
we 2
weak 1
weary 1
What 1
what 4
wheeled 1
when 1
Whether 1
whether 1
While 1
while 1
whispered 2
whom 4
whose 3
wide 1
will 1
wind 1
window 1
wished 1
with 7
With 1
within 2
wondering 1
word 6
wore 1
Wretch 1
wrought 1
yet 2
yore 3
you 3
your 1

Reverse Numerical Order
the 56
I 32
and 30
my 24
of 21
that 15
a 15
door 14
this 13
chamber 11
Raven 11
is 10
bird 9
me 9
And 8
at 8
Lenore 8
more 8
Nevermore 8
or 8
from 7
he 7
his 7
above 7
no 7
said 7
still 7
there 7
thy 7
with 7
bust 6
But 6
in 6
into 6
nothing 6
on 6
soul 6
was 6
word 6
before 5
by 5
name 5
Quoth 5
tapping 5
to 5
upon 5
all 4
floor 4
