Please enter the text file you would like to use.
For my data, enter paper.txt.
For Dr. Finkel's data, enter poem.txt.
Choice: paper.txt

Thank you for choosing. To continue, press enter.

Alphabetical Order
a 16
able 1
about 2
academic 1
academics 1
accordance 1
according 1
achieved 1
across 1
adhering 1
admittedly 1
adults 1
advancement 1
after 3
After 1
Age 1
alcohol 1
all 2
already 2
also 3
Although 1
Amendment 1
America 11
American 9
Americans 2
among 1
Among 1
amongst 1
an 1
and 29
announce 1
anyone 1
are 1
as 15
assessment 1
assets 1
assumed 1
at 4
attacked 1
attitude 1
Aunt 1
aware 1
bad 1
Baker 5
Baltimore 1
be 5
became 1
because 2
become 3
been 2
Before 1
before 2
began 1
beginning 1
being 3
believed 1
belonged 1
between 6
Bill 1
boiled 1
both 3
bouncing 2
Bread 1
but 4
by 4
came 1
can 1
career 1
caught 1
change 6
changing 1
characteristics 1
chase 1
child 1
childhood 1
citizenry 1
citizens 1
City 1
clashed 1
class 1
College 1
combat 1
come 2
common 1
community 1
Compared 2
completed 1
complication 1
concern 1
conflict 1
conflicts 2
consumption 1
continue 1
contrast 1
correct 1
could 3
country 1
dangers 1
dealing 1
debated 1
definition 1
democracy 3
Depression 8
described 1
didn 2
disappeared 1
disaster 1
discourse 1
disengaged 1
display 1
do 2
don 1
done 1
down 2
drastic 1
dream 1
Dream 6
dreams 1
due 1
During 1
during 1
economic 1
education 1
elite 1
Elizabeth 1
employment 1
enter 1
enthusiasm 1
entire 1
equal 2
equality 2
era 2
especially 1
essentially 1
Europe 1
even 2
Even 1
eventual 1
eventually 2
everything 1
evils 1
evolution 1
exert 1
experiences 1
face 1
factor 1
familiarity 1
family 3
far 1
fascism 1
fascist 1
fascists 1
fears 1
Feminism 1
few 1
finally 1
find 2
finish 1
flow 1
focused 1
For 1
for 16
forming 1
found 1
founders 1
freely 1
from 6
GI 1
gaps 1
gave 1
generation 1
generational 1
generations 1
get 2
getting 1
Gilded 1
Givers 1
goals 1
going 1
Great 5
great 2
greater 1
greatest 1
grilled 1
Growing 3
grown 1
guardian 1
had 17
hadn 1
handled 1
hang 1
Harbor 1
hardship 1
hardships 3
have 3
He 1
he 11
her 4
Herb 1
herself 1
high 1
him 2
himself 1
his 13
history 1
hit 1
Hitler 1
hold 1
home 2
Honor 1
hope 2
hoped 1
Hopkins 1
household 1
how 4
How 1
However 1
I 1
II 2
Ida 3
ideals 2
if 1
impact 2
importance 1
in 29
In 3
independence 1
influence 1
intellectuals 1
is 3
It 1
it 9
its 8
itself 2
Japan 1
Jewish 1
job 5
jobs 3
Johns 1
key 1
knew 1
know 2
labor 1
lady 2
leading 1
learned 1
least 1
leave 3
led 1
less 1
lessons 1
let 1
letter 1
letters 1
Life 1
life 5
like 5
little 1
living 1
long 1
looks 1
Luckily 1
Lucy 9
made 2
makeup 1
Many 1
many 6
matter 1
men 2
mere 1
Mimi 4
modern 1
most 1
mother 1
motivation 1
moving 1
much 1
must 4
muted 1
nation 5
naval 1
necessities 1
necessity 1
needed 1
news 1
next 1
no 2
nonaggression 1
not 4
nothing 1
now 1
OK 1
of 31
okay 1
old 1
Oluf 4
on 6
One 1
one 2
opinion 1
opportunities 1
opportunity 2
or 3
others 1
out 2
over 2
own 4
pact 1
part 1
Pat 2
Pearl 1
peers 1
people 1
period 2
pilot 1
place 1
plan 1
political 1
position 1
premier 1
present 1
prevent 1
previous 1
principles 1
professor 1
put 1
questions 1
rang 1
rather 1
reacted 1
ready 1
rearing 1
Rebecca 1
recover 1
regards 1
resolve 1
responded 1
returning 1
rise 1
role 2
Russell 12
s 15
said 1
Sara 3
say 1
scholarship 1
school 1
schooling 1
searching 1
second 2
seemed 4
seen 8
self 1
settle 1
shared 1
shattered 1
she 4
should 1
shown 2
significant 1
since 1
skills 1
Smolinsky 2
so 1
Society 1
something 1
sometimes 1
split 1
spread 1
spreading 1
Stalin 2
status 1
steady 1
steered 1
still 2
such 1
suicide 1
sum 1
Sun 1
surviving 2
t 4
taught 1
tempered 1
tested 1
th 1
than 2
that 12
the 83
The 5
their 4
them 1
themselves 1
there 4
these 2
they 3
This 4
this 4
those 1
though 3
threatened 1
thrive 1
through 1
time 4
timeframe 1
times 1
to 39
To 1
today 1
toward 1
towards 3
trades 1
traditional 1
training 2
transformation 1
treasuring 1
treatment 1
trees 1
trial 1
tried 1
Trotsky 1
true 4
truly 3
tumultuous 1
two 1
undergone 1
understand 1
understanding 1
understood 1
until 1
Up 3
up 2
uprooting 1
use 1
used 1
vital 1
wanted 2
wanting 1
War 4
war 6
was 27
way 3
ways 1
Well 1
well 1
were 7
what 3
Whats 1
When 1
when 2
wherever 1
whether 1
which 1
while 1
While 1
who 3
will 1
willpower 1
with 16
With 3
within 1
without 2
woman 4
women 7
work 2
working 2
world 9
World 4
would 4
writer 1
writing 1
wrote 2
yet 2
you 1
You 1
young 1
younger 1
your 1

Reverse Numerical Order
the 83
to 39
of 31
and 29
in 29
was 27
had 17
for 16
a 16
with 16
as 15
s 15
his 13
Russell 12
that 12
America 11
he 11
American 9
it 9
Lucy 9
world 9
Depression 8
its 8
seen 8
were 7
women 7
between 6
change 6
Dream 6
from 6
many 6
on 6
war 6
Baker 5
be 5
Great 5
job 5
life 5
like 5
nation 5
The 5
but 4
by 4
her 4
how 4
at 4
Mimi 4
must 4
not 4
Oluf 4
own 4
seemed 4
she 4
t 4
their 4
there 4
This 4
this 4
time 4
true 4
War 4
woman 4
World 4
would 4
could 3
democracy 3
family 3
Growing 3
hardships 3
have 3
Ida 3
In 3
is 3
jobs 3
leave 3
also 3
become 3
or 3
after 3
Sara 3
being 3
they 3
though 3
towards 3
truly 3
Up 3
both 3
way 3
what 3
who 3
With 3
didn 2
do 2
down 2
equal 2
equality 2
era 2
even 2
